id,title,property_type,municipality,surface,rooms,bedrooms,bathrooms,description,images_count,price_tnd,city,property_subtype,log_surface,rooms_per_m2,price_per_m2,m2_per_room,property_type_enc,property_subtype_enc,city_mean_enc,city_med_enc,city_freq_enc,subtype_price_enc
1,S2 en vente,apartment,Tunisie,124.85,2.0,1.0,1.0,"Cet appartement est situé au rez-de-chaussée d’une résidence sécurisée et bien entretenue à La Soukra. Le hall d’entrée ouvre sur un espace de vie lumineux, avec un salon baigné de lumière naturelle grâce à ses ouvertures donnant sur un balcon. La cuisine est indépendante et entièrement équipée par une plaque de cuisson, hotte, et four. Une porte donne accès à un séchoir. Une salle d’eau est également disponible. La partie nuit comprend deux chambres à coucher avec dressing. L’appartement est équipé du chauffage central et de la climatisation en système split. Une place de parking au sous-sol est réservée aux futurs habitants.",17,360000.0,La Soukra,apartment,4.835090721581325,0.016019223067681217,2883.4601521826194,62.425,0,0,521519.9090909091,443000.0,187,482143.85088757396
2,S2 en vente,apartment,Tunisie,131.39,2.0,1.0,1.0,"Direct promoteur, spacieux appartement S2 en rez-de-chaussée d’une superficie habitable de 131,39 m², bénéficiant d’un jardin privatif de 40 m².Dès l’entrée, vous découvrez un salon lumineux donnant accès à un jardin verdoyant.La cuisine, indépendante, est entièrement aménagée et équipée (plaque de cuisson, hotte aspirante et four), elle est climatisée, dispose d’un séchoir pratique et donne également accès au jardin.Un point d’eau est à la disposition des invitésLa partie nuit se compose de deux chambres à coucher, chacune équipée d’un dressing et d’un climatiseur, offrant un accès direct au jardin.Le bien comprend également une place de parking au sous-sol.",22,592000.0,Autre,apartment,4.885752111949565,0.01522185858893371,4505.6701423243785,65.695,0,0,398396.0297239915,360000.0,471,482143.85088757396
3,S3 en vente,apartment,Tunisie,130.0,3.0,2.0,1.0,"Appartement S3 occupant le deuxième et dernier étage d’une résidence R2 avec ascenseur, bénéficiant d’une vue dégagée et situé dans un emplacement accessible et sécurisé. Il offre un excellent niveau de confort grâce à des matériaux de qualité (sanitaires soignés, boiserie de qualité, menuiserie en aluminium et stores électriques). La partie jour comprend une pièce de réception lumineuse pouvant accueillir un salon, une cuisine indépendante aménagée et équipée d’une plaque de cuisson avec espaces de rangement et séchoir, ainsi qu’une salle de douche. La partie nuit se compose de deux chambres à coucher, dont une suite parentale.L’appartement dispose également d’une cuisine secondaire aménagée au niveau du séchoir, de deux places de parking en sous-sol et est équipé d’un chauffage central ainsi que d’une climatisation centrale.",19,485000.0,Autre,apartment,4.875197323201151,0.023076923076923078,3730.769230769231,43.333333333333336,0,0,398396.0297239915,360000.0,471,482143.85088757396
4,Fabuleux appartement S2 à vendre,apartment,Tunisie,131.0,2.0,1.0,1.0,"Spacieux, fonctionnels et conçus dans un style soigné, nos appartements S+2 (Salon et 2 chambres) offrent toutes les commodités nécessaires pour répondre parfaitement à vos besoins quotidiens. Ils allient confort, qualité et praticité dans un environnement harmonieux. Nous disposons encore de quelques appartements S+2, avec des surfaces variant de 129 à 131 m². « Pour d’amples informations, n'hésitez pas à nous contacter au +216 98 780 888 ou par e-mail à commercial@cipolin-immobilier.com. Site web : cipolin-immobilier.com. »",13,635000.0,Autre,apartment,4.882801922586371,0.015267175572519083,4847.32824427481,65.5,0,0,398396.0297239915,360000.0,471,482143.85088757396
6,"Appartement S1 RDC à vendre, Résidence MALAGA 2 La Marsa",apartment,Tunisie,89.85,1.0,0.0,1.0,"Projet exclusivement Résidentiel dénommé ""MALAGA 2"", mitoyen à La Résidence Malaga, en face de Cité Les Pins, La Marsa. Opportunités d'achat d'appartements de type S1 / S2 / S3.",5,390000.0,La Marsa,apartment,4.50920979484218,0.011129660545353368,4340.567612687813,89.85,0,0,492373.9130434783,410000.0,115,482143.85088757396
7,APT Centre Ville Tunis,apartment,Tunisie,124.85,2.0,1.0,1.0,"à vendre : appartement avec titre foncier au 4ème et dernier étage situé en plein centre-ville de tunis, à l’angle de la rue ibn khaldoun (derrière la poste et la municipalité av de carthage). a côté de la garre (place barcelone) l’appartement bénéficie d’une double exposition et d’une luminosité exceptionnelle grâce à ses 4 balcons et ses 5 grandes portes-fenêtres. il se compose de : un salon avec deux pièces pouvant être converti en deux pièces, deux chambres avec ses meubles, une salle de bain équipée d’une baignoire, une cuisine. a noter : l’ascenseur de l’immeuble n’est pas en état de marche. meubles sur les photos compris. cet appartement, idéalement situé, convient aussi bien pour un usage résidentiel que professionnel.",7,160000.0,Carthage,apartment,4.835090721581325,0.016019223067681217,1281.5378454144975,62.425,0,0,630882.3529411765,675000.0,17,482143.85088757396
9,Grand S3 haut standing Sahloul 4,apartment,Tunisie,163.0,3.0,2.0,1.0,"Opportunité unique pour cet appartement à vendre. Prix 447 000 TND. Salon  1 suite parentale  2 chambres, 2 salles de bains 1 salle d'eau  cuisine. superficie 163 m² au 3ème étage. 2 places parking et cellier au sous-sol disponibles prix en sus. Revêtement: Marbre. Confort et sécurité avec service de conciergerie et climatisation. Venez découvrir cet appartement à vendre à Sahloul. Parfaitement équipé avec chauffage central et double vitrage. Sécurité garantie avec surveillance. Système d'antenne parabolique. Soyez le premier à visiter cet appartement en vente. Profitez d'une belle terrasse. Dispose également d'un ascenseur. Four encastré. Cuisine équipée.",13,447000.0,Sousse,apartment,5.099866427824199,0.018404907975460124,2742.3312883435583,54.333333333333336,0,0,408281.2921348315,333000.0,178,482143.85088757396
10,A vendre un appartement en S3 de 140m² à Ennasr2,apartment,Tunisie,140.0,3.0,2.0,1.0,"Cet appartement est situé à Ennasr 1, au sein d’une résidence récente, sécurisée et très bien réputée. Il se trouve au 3 étage et bénéficie d’un double ascenseur. À l’entrée, on découvre un agréable salon lumineux ouvrant sur un balcon offrant une vue dégagée. La cuisine est entièrement équipée et aménagée, complétée par un séchoir et équipée d’un détecteur de fumée pour plus de sécurité. Une salle d’eau pour les invités vient compléter la partie jour. La partie nuit se compose d’une suite parentale avec dressing et salle d’eau privative, de deux chambres à coucher dotées de dressings, ainsi que d’une salle de bain commune. L’appartement est entièrement sécurisé et modernisé, il dispose d’une alarme, de caméras de surveillance, d’un vidéophone et d’un système domotique permettant de contrôler l’ensemble des installations à distance. Des climatiseurs split-system sont installés dans toutes les pièces Une place de parking est disponible au sous-sol.",13,550000.0,Ennasr,apartment,4.948759890378168,0.02142857142857143,3928.5714285714284,46.666666666666664,0,0,431078.43137254904,395000.0,51,482143.85088757396
11,Vente appartement s2 de standing la marsa,apartment,Tunisie,128.0,2.0,1.0,1.0,"Je met à la vente un grand appartements S2 d'une superficie d'environ 128 m² situés dans une petite résidence de six appartements à la marsa lahwache proche de la Pharmacie Ali Farhat. La partie jour se compose d'un salon spacieux, un balcon, une cuisine équipée ( plaque, four et hotte) avec séchoir et une salle d'eau invités. La partie nuit se compose de deux chambres à coucher avec dressing dont une avec balcon et une salle de bain commune. L'appartement est chauffé et climatisé. La résidence se compose de 6 appartements est sans ascenseur et sans parking. -2eme : 410000 Tel/WhatsApp : 00 216 24 26 88 33",15,410000.0,La Marsa,apartment,4.859812404361672,0.015625,3203.125,64.0,0,0,492373.9130434783,410000.0,115,482143.85088757396
12,Appartement S3 à Jardin de Carthage,apartment,Tunisie,130.0,3.0,2.0,1.0,"La Méditerranée Immobilière Lac 2, vous propose à la vente un magnifique appartement s3 dans une résidence calme et sécurisée à Jardin de Carthage. Ce dernier se compose d'un salon lumineux , une cuisine équipée avec séchoir , deux chambres à coucher avec dressings partagent une salle de bain , une suite parentale avec balcon chauffage central , climatisation , une place de parking sous sol",10,595000.0,Carthage,apartment,4.875197323201151,0.023076923076923078,4576.923076923077,43.333333333333336,0,0,630882.3529411765,675000.0,17,482143.85088757396
13,Appartement s2 directe promoteur aux JDC,apartment,Tunisie,110.0,2.0,1.0,1.0,"La méditerranée immobilière Lac 2, vous propose à la vente un appartement s2 Situé dans un quartier résidentiel prisé, calme et sécurisé, cet élégant. cet appartement S2 d’une superficie de 110 m² est proposé directement du promoteur, avec frais d’enregistrement réduits. Caractéristiques de l’appartement : Un spacieux salon lumineux avec accès à un balcon/terrasse Cuisine moderne équipée (plaque, hotte, four) avec séchoir Deux chambres à coucher dont une avec dressing Salle de bain  salle d’eau pour les invités Revêtement en marbre, menuiserie aluminium, chauffage central et climatisation en split Avantages : Résidence haut standing sécurisée avec ascenseur Piscine commune dans la résidence Place de parking privée au sous-sol Proximité des écoles, commerces, cafés et transports Idéal pour habitation ou investissement locatif",1,590000.0,Jardins de Carthage,apartment,4.709530201312334,0.01818181818181818,5363.636363636364,55.0,0,0,669237.7777777778,650000.0,180,482143.85088757396
14,Appartement A24 – Résidence MAYA à Kairouan,apartment,Tunisie,124.85,2.0,1.0,1.0,"Appartement spacieux de 94,27 m², offrant un confort optimal pour la vie familiale. Salon lumineux, chambres confortables, cuisine bien aménagée. Caractéristiques : Surface totale : 94,27 m² Prix TTC : 221.534,500 DT N'hésitez pas à prendre contact avec nous pour programmer rapidement votre visite !",5,221534.0,Kairouan,apartment,4.835090721581325,0.016019223067681217,1774.4012815378455,62.425,0,0,226658.10344827586,223532.0,29,482143.85088757396
19,Appartement A05 – S2 – Résidence MAYA à Kairouan,apartment,Tunisie,105.55,2.0,1.0,1.0,"Vivez dans un environnement moderne et paisible avec cet appartement S+2 de 105,55 m², parfaitement conçu pour optimiser lumière et confort. Profitez d’une terrasse de 25 m² et d’un jardin privé de 26 m², idéal pour vos moments de détente et vos repas en plein air. Cet appartement offre un salon spacieux et lumineux, des chambres confortables, et une cuisine fonctionnelle adaptée à vos besoins. Idéal pour les familles recherchant un cadre de vie agréable et sécurisé. Caractéristiques : Surface totale : 105,55 m² Terrasse : 25 m² Jardin : 26 m² Prix TTC : 291.292,500 DT N'hésitez pas à prendre contact avec nous pour programmer rapidement votre visite !",5,291292.0,Kairouan,apartment,4.668614358544626,0.018948365703458078,2759.753671245855,52.775,0,0,226658.10344827586,223532.0,29,482143.85088757396
20,Appartement S1 aux Jardins de Carthage,apartment,Tunisie,89.85,1.0,0.0,1.0,"La Méditerranée Immobilière Lac 2, vous propose à la vente un appartement S1 à ne pas rater c'est une belle opportunité dans une résidence calme et sécurisée à Jardin de Carthage. Il se compose d'un salon lumineux donnant accès à une terrasse. Une cuisine équipé . Une chambres à coucher avec des dressings et une salle de bain commune. L'appartement est équipé de chauffages central et des climatiseurs.",5,400000.0,Jardins de Carthage,apartment,4.50920979484218,0.011129660545353368,4451.864218141347,89.85,0,0,669237.7777777778,650000.0,180,482143.85088757396
21,Appartement S2 aux jardins de carthage,apartment,Tunisie,124.85,2.0,1.0,1.0,"La Méditerranée Immobilière Lac 2, vous propose à la vente un magnifique appartement S2 à ne pas rater c'est une belle opportunité dans une résidence calme et sécurisée à Jardin de Carthage. Il se compose d'un salon lumineux donnant accès à une terrasse. Une cuisine équipé . La partie nuit dispose de deux chambres à coucher avec des dressings et une salle de bain commune. L'appartement est équipé de chauffages central et des climatiseurs.",6,435000.0,Jardins de Carthage,apartment,4.835090721581325,0.016019223067681217,3484.181017220665,62.425,0,0,669237.7777777778,650000.0,180,482143.85088757396
