id,title,subtitle,price,transaction_type,property_type,location_details,municipality,surface,rooms,bedrooms,bathrooms,features,poi,description,url,image_path,images_folder,images_count,scraped_at,last_updated
1,S2 en vente,Tunisie,360000 TND,sale,apartment,"{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}",Tunisie,,2.0,,,{},{},"Cet appartement est situé au rez-de-chaussée d’une résidence sécurisée et bien entretenue à La Soukra. Le hall d’entrée ouvre sur un espace de vie lumineux, avec un salon baigné de lumière naturelle grâce à ses ouvertures donnant sur un balcon. La cuisine est indépendante et entièrement équipée par une plaque de cuisson, hotte, et four. Une porte donne accès à un séchoir. Une salle d’eau est également disponible. La partie nuit comprend deux chambres à coucher avec dressing. L’appartement est équipé du chauffage central et de la climatisation en système split. Une place de parking au sous-sol est réservée aux futurs habitants.",https://www.mubawab.tn/fr/a/8294557/s2-en-vente,media\apartment\1\image_001.jpg,media\apartment\1,17,2026-02-18 09:17:27.187609,Unknown
2,S2 en vente,Tunisie,592000 TND,sale,apartment,"{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}",Tunisie,131.39,2.0,,,{},{},"Direct promoteur, spacieux appartement S2 en rez-de-chaussée d’une superficie habitable de 131,39 m², bénéficiant d’un jardin privatif de 40 m².Dès l’entrée, vous découvrez un salon lumineux donnant accès à un jardin verdoyant.La cuisine, indépendante, est entièrement aménagée et équipée (plaque de cuisson, hotte aspirante et four), elle est climatisée, dispose d’un séchoir pratique et donne également accès au jardin.Un point d’eau est à la disposition des invitésLa partie nuit se compose de deux chambres à coucher, chacune équipée d’un dressing et d’un climatiseur, offrant un accès direct au jardin.Le bien comprend également une place de parking au sous-sol.",https://www.mubawab.tn/fr/a/8303764/s2-en-vente,media\apartment\2\image_001.jpg,media\apartment\2,22,2026-02-18 09:17:48.807684,Unknown
3,S3 en vente,Tunisie,485000 TND,sale,apartment,"{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}",Tunisie,,3.0,,,{},{},"Appartement S3 occupant le deuxième et dernier étage d’une résidence R2 avec ascenseur, bénéficiant d’une vue dégagée et situé dans un emplacement accessible et sécurisé. Il offre un excellent niveau de confort grâce à des matériaux de qualité (sanitaires soignés, boiserie de qualité, menuiserie en aluminium et stores électriques). La partie jour comprend une pièce de réception lumineuse pouvant accueillir un salon, une cuisine indépendante aménagée et équipée d’une plaque de cuisson avec espaces de rangement et séchoir, ainsi qu’une salle de douche. La partie nuit se compose de deux chambres à coucher, dont une suite parentale.L’appartement dispose également d’une cuisine secondaire aménagée au niveau du séchoir, de deux places de parking en sous-sol et est équipé d’un chauffage central ainsi que d’une climatisation centrale.",https://www.mubawab.tn/fr/a/8302133/s3-en-vente,media\apartment\3\image_001.jpg,media\apartment\3,19,2026-02-18 09:18:05.01749,Unknown
4,Fabuleux appartement S2 à vendre,Tunisie,635000 TND,sale,apartment,"{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}",Tunisie,131.0,2.0,rangement,,{},{},"Spacieux, fonctionnels et conçus dans un style soigné, nos appartements S+2 (Salon et 2 chambres) offrent toutes les commodités nécessaires pour répondre parfaitement à vos besoins quotidiens. Ils allient confort, qualité et praticité dans un environnement harmonieux. Nous disposons encore de quelques appartements S+2, avec des surfaces variant de 129 à 131 m². « Pour d’amples informations, n'hésitez pas à nous contacter au +216 98 780 888 ou par e-mail à commercial@cipolin-immobilier.com. Site web : cipolin-immobilier.com. »",https://www.mubawab.tn/fr/pa/8270015/fabuleux-appartement-s2-%C3%A0-vendre,media\apartment\4\image_001.jpg,media\apartment\4,13,2026-02-18 09:18:21.342337,Unknown
5,Appartement à vendre à Les Jardins d'El Menzah 2,Tunisie,Prix à consulter,sale,apartment,"{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}",Tunisie,67.0,,,,{},{},Ne laissez pas passer cet appartement à vendre. Superficie 67 m². Cet appartement est proposé à la vente à Les Jardins d'El Menzah 2. Très beau Jardin. La résidence est équipée d'un Ascenseur et d'un Parking. Nombreux équipements dont climatisation et piscine. Soyez le premier à visiter cet appartement en vente. Bénéficiez du calme absolu avec fenêtres en double vitrage. Dispose du chauffage central. Four encastré. Résidence gardée.,https://www.mubawab.tn/fr/pa/8247342/appartement-%C3%A0-vendre-%C3%A0-les-jardins-d-el-menzah-2,media\apartment\5\image_001.jpg,media\apartment\5,8,2026-02-18 09:18:34.696963,Unknown
6,"Appartement S1 RDC à vendre, Résidence MALAGA 2 La Marsa",Tunisie,390000 TND,sale,apartment,"{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}",Tunisie,,1.0,,,{},{},"Projet exclusivement Résidentiel dénommé ""MALAGA 2"", mitoyen à La Résidence Malaga, en face de Cité Les Pins, La Marsa. Opportunités d'achat d'appartements de type S1 / S2 / S3.",https://www.mubawab.tn/fr/pa/7903086/appartement-s1-rdc-%C3%A0-vendre-r%C3%A9sidence-malaga-2-la-marsa,media\apartment\6\image_001.jpg,media\apartment\6,5,2026-02-18 09:18:47.223129,Unknown
7,APT Centre Ville Tunis,Tunisie,160000 TND,sale,apartment,"{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}",Tunisie,,,rangement,,{},{},"à vendre : appartement avec titre foncier au 4ème et dernier étage situé en plein centre-ville de tunis, à l’angle de la rue ibn khaldoun (derrière la poste et la municipalité av de carthage). a côté de la garre (place barcelone) l’appartement bénéficie d’une double exposition et d’une luminosité exceptionnelle grâce à ses 4 balcons et ses 5 grandes portes-fenêtres. il se compose de : un salon avec deux pièces pouvant être converti en deux pièces, deux chambres avec ses meubles, une salle de bain équipée d’une baignoire, une cuisine. a noter : l’ascenseur de l’immeuble n’est pas en état de marche. meubles sur les photos compris. cet appartement, idéalement situé, convient aussi bien pour un usage résidentiel que professionnel.",https://www.mubawab.tn/fr/a/8293596/apt-centre-ville-tunis,media\apartment\7\image_001.jpg,media\apartment\7,7,2026-02-18 09:18:57.5507,Unknown
8,Le projet immobilier Résidence Emna,Tunisie,Prix à consulter,sale,apartment,"{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}",Tunisie,,,,,{},{},Écoles,https://www.mubawab.tn/fr/p/4086/le-projet-immobilier-r%C3%A9sidence-emna%C2%A0,media\apartment\8\image_001.jpg,media\apartment\8,4,2026-02-18 09:19:08.672911,Unknown
9,Grand S3 haut standing Sahloul 4,Tunisie,447000 TND,sale,apartment,"{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}",Tunisie,163.0,3.0,rangement,,{},{},"Opportunité unique pour cet appartement à vendre. Prix 447 000 TND. Salon  1 suite parentale  2 chambres, 2 salles de bains 1 salle d'eau  cuisine. superficie 163 m² au 3ème étage. 2 places parking et cellier au sous-sol disponibles prix en sus. Revêtement: Marbre. Confort et sécurité avec service de conciergerie et climatisation. Venez découvrir cet appartement à vendre à Sahloul. Parfaitement équipé avec chauffage central et double vitrage. Sécurité garantie avec surveillance. Système d'antenne parabolique. Soyez le premier à visiter cet appartement en vente. Profitez d'une belle terrasse. Dispose également d'un ascenseur. Four encastré. Cuisine équipée.",https://www.mubawab.tn/fr/a/8230106/grand-s3-haut-standing-sahloul-4,media\apartment\9\image_001.jpg,media\apartment\9,13,2026-02-18 09:19:18.420578,Unknown
10,A vendre un appartement en S3 de 140m² à Ennasr2,Tunisie,550000 TND,sale,apartment,"{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}",Tunisie,140.0,3.0,,,{},{},"Cet appartement est situé à Ennasr 1, au sein d’une résidence récente, sécurisée et très bien réputée. Il se trouve au 3 étage et bénéficie d’un double ascenseur. À l’entrée, on découvre un agréable salon lumineux ouvrant sur un balcon offrant une vue dégagée. La cuisine est entièrement équipée et aménagée, complétée par un séchoir et équipée d’un détecteur de fumée pour plus de sécurité. Une salle d’eau pour les invités vient compléter la partie jour. La partie nuit se compose d’une suite parentale avec dressing et salle d’eau privative, de deux chambres à coucher dotées de dressings, ainsi que d’une salle de bain commune. L’appartement est entièrement sécurisé et modernisé, il dispose d’une alarme, de caméras de surveillance, d’un vidéophone et d’un système domotique permettant de contrôler l’ensemble des installations à distance. Des climatiseurs split-system sont installés dans toutes les pièces Une place de parking est disponible au sous-sol.",https://www.mubawab.tn/fr/a/8295962/a-vendre-un-appartement-en-s3-de-140m%C2%B2-%C3%A0-ennasr2,media\apartment\10\image_001.jpg,media\apartment\10,13,2026-02-18 09:19:31.485226,Unknown
11,Vente appartement s2 de standing la marsa,Tunisie,410000 TND,sale,apartment,"{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}",Tunisie,128.0,2.0,,,{},{},"Je met à la vente un grand appartements S2 d'une superficie d'environ 128 m² situés dans une petite résidence de six appartements à la marsa lahwache proche de la Pharmacie Ali Farhat. La partie jour se compose d'un salon spacieux, un balcon, une cuisine équipée ( plaque, four et hotte) avec séchoir et une salle d'eau invités. La partie nuit se compose de deux chambres à coucher avec dressing dont une avec balcon et une salle de bain commune. L'appartement est chauffé et climatisé. La résidence se compose de 6 appartements est sans ascenseur et sans parking. -2eme : 410000 Tel/WhatsApp : 00 216 24 26 88 33",https://www.mubawab.tn/fr/a/7300527/vente-appartement-s2-de-standing-la-marsa,media\apartment\18\image_001.jpg,media\apartment\18,15,2026-02-18 09:21:01.550874,Unknown
12,Appartement S3 à Jardin de Carthage,Tunisie,595000 TND,sale,apartment,"{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}",Tunisie,,3.0,,,{},{},"La Méditerranée Immobilière Lac 2, vous propose à la vente un magnifique appartement s3 dans une résidence calme et sécurisée à Jardin de Carthage. Ce dernier se compose d'un salon lumineux , une cuisine équipée avec séchoir , deux chambres à coucher avec dressings partagent une salle de bain , une suite parentale avec balcon chauffage central , climatisation , une place de parking sous sol",https://www.mubawab.tn/fr/a/8164118/appartement-s3-%C3%A0-jardin-de-carthage,media\apartment\19\image_001.jpg,media\apartment\19,10,2026-02-18 09:21:15.367506,Unknown
13,Appartement s2 directe promoteur aux JDC,Tunisie,590000 TND,sale,apartment,"{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}",Tunisie,110.0,2.0,,,{},{},"La méditerranée immobilière Lac 2, vous propose à la vente un appartement s2 Situé dans un quartier résidentiel prisé, calme et sécurisé, cet élégant. cet appartement S2 d’une superficie de 110 m² est proposé directement du promoteur, avec frais d’enregistrement réduits. Caractéristiques de l’appartement : Un spacieux salon lumineux avec accès à un balcon/terrasse Cuisine moderne équipée (plaque, hotte, four) avec séchoir Deux chambres à coucher dont une avec dressing Salle de bain  salle d’eau pour les invités Revêtement en marbre, menuiserie aluminium, chauffage central et climatisation en split Avantages : Résidence haut standing sécurisée avec ascenseur Piscine commune dans la résidence Place de parking privée au sous-sol Proximité des écoles, commerces, cafés et transports Idéal pour habitation ou investissement locatif",https://www.mubawab.tn/fr/a/8231712/appartement-s2-directe-promoteur-aux-jdc,media\apartment\20\image_001.jpg,media\apartment\20,1,2026-02-18 09:21:27.780413,Unknown
14,Appartement A24 – Résidence MAYA à Kairouan,Tunisie,221534 TND,sale,apartment,"{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}",Tunisie,94.27,,,,{},{},"Appartement spacieux de 94,27 m², offrant un confort optimal pour la vie familiale. Salon lumineux, chambres confortables, cuisine bien aménagée. Caractéristiques : Surface totale : 94,27 m² Prix TTC : 221.534,500 DT N'hésitez pas à prendre contact avec nous pour programmer rapidement votre visite !",https://www.mubawab.tn/fr/pa/8255536/appartement-a24-%E2%80%93-r%C3%A9sidence-maya-%C3%A0-kairouan,media\apartment\137\image_001.jpg,media\apartment\137,5,2026-02-18 09:47:04.087717,Unknown
15,Vente Villa Bellissima S4,Tunisie,,sale,house,"{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}",Tunisie,,4.0,,,{},{},,https://www.mubawab.tn/fr/a/8305600/vente-villa-bellissima-s4,media\house\944\image_001.jpg,media\house\944,1,2026-02-18 20:04:16.539192,Unknown
16,S1 – Résidence L’ULTIME Projet Diar Rached,Tunisie,Prix à consulter,sale,apartment,"{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}",Tunisie,63.0,1.0,,,{},{},"Achetez votre appartement. 2 pièces, 1 salle de bains, surface 63 m². 1 chambre. Nouveau. Idéal si vous souhaitez acheter un appartement à Les Jardins de Carthage. Parfaitement équipé avec porte blindée, chauffage central et double vitrage. Profitez d'une belle terrasse. Dispose également d'un ascenseur. Contactez-nous si vous êtes intéressé par cet appartement. Sécurité garantie avec surveillance. Système d'antenne parabolique. Profitez du confort de la climatisation. La résidence dispose également d'une piscine. Confortable salon européen. À proximité: boutiques à 100 mètres, établissements scolaires à 600 mètres, supermarché à 700 mètres, pharmacie à 800 mètres, librairie à 1.1 kilomètre, centre commercial et cafés et restaurants à 1.2 kilomètre, hôpitaux à 1.3 kilomètre, gare et transports publics à 1.5 kilomètre, service de taxi à 2.0 kilomètre, plage à 2.5 kilomètres.",https://www.mubawab.tn/fr/pa/8106947/s1-%E2%80%93-r%C3%A9sidence-l%E2%80%99ultime-projet-diar-rached,media\apartment\11\image_001.jpg,media\apartment\11,11,2026-02-18 09:19:43.562503,Unknown
17,Opportunité d'un S2 de 118m² au 1er etage à vendre,Tunisie,Prix à consulter,sale,apartment,"{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}",Tunisie,118.0,2.0,rangement,,{},{},"La Résidence Marbella est un projet pensé pour allier confort, sérénité et bien-être au quotidien. Profitez d’un cadre moderne avec parking sous-sol sécurisé et celliers privés, dans des appartements aux prestations soignées et ergonomiques. Nos appartements type S+2 (Salon et 2 chambres) offrent des espaces lumineux et conviviaux, avec des environnements propices aux moments de détente et aux balades en famille. Surface disponible : de 99 à 119 m² « Pour d’amples informations, n'hésitez pas à nous contacter au +216 98 780 888 ou par e-mail à commercial@cipolin-immobilier.com. Site web : cipolin-immobilier.com",https://www.mubawab.tn/fr/pa/8270415/opportunit%C3%A9-d-un-s2-de-118m%C2%B2-au-1er-etage-%C3%A0-vendre,media\apartment\12\image_001.jpg,media\apartment\12,17,2026-02-18 09:19:57.737272,Unknown
18,Agréable appartement à vendre,Tunisie,Prix à consulter,sale,apartment,"{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}",Tunisie,123.0,3.0,,,{},{},"Agréable appartement à vendre. 2 chambres à coucher, 3 salles de bains, 123m² avec  3 pièces salon et 02 chambres à couche une avec suite parentale . Nouveau. Cet appartement est en vente à Ain Zaghouan Nord. Résidence avec piscine. Grand balcon. Programmez dès maintenant votre visite pour cet appartement d'exception. Isolation sonore avec double vitrage. Résidence sécurisée.",https://www.mubawab.tn/fr/pa/7845704/agr%C3%A9able-appartement-%C3%A0-vendre,media\apartment\13\image_001.jpg,media\apartment\13,10,2026-02-18 09:20:12.574562,Unknown
19,Appartement A05 – S2 – Résidence MAYA à Kairouan,Tunisie,291292 TND,sale,apartment,"{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}",Tunisie,105.55,2.0,,,{},{},"Vivez dans un environnement moderne et paisible avec cet appartement S+2 de 105,55 m², parfaitement conçu pour optimiser lumière et confort. Profitez d’une terrasse de 25 m² et d’un jardin privé de 26 m², idéal pour vos moments de détente et vos repas en plein air. Cet appartement offre un salon spacieux et lumineux, des chambres confortables, et une cuisine fonctionnelle adaptée à vos besoins. Idéal pour les familles recherchant un cadre de vie agréable et sécurisé. Caractéristiques : Surface totale : 105,55 m² Terrasse : 25 m² Jardin : 26 m² Prix TTC : 291.292,500 DT N'hésitez pas à prendre contact avec nous pour programmer rapidement votre visite !",https://www.mubawab.tn/fr/pa/8255178/appartement-a05-%E2%80%93-s2-%E2%80%93-r%C3%A9sidence-maya-%C3%A0-kairouan,media\apartment\14\image_001.jpg,media\apartment\14,5,2026-02-18 09:20:23.64994,Unknown
20,Appartement S1 aux Jardins de Carthage,Tunisie,400000 TND,sale,apartment,"{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}",Tunisie,,1.0,,,{},{},"La Méditerranée Immobilière Lac 2, vous propose à la vente un appartement S1 à ne pas rater c'est une belle opportunité dans une résidence calme et sécurisée à Jardin de Carthage. Il se compose d'un salon lumineux donnant accès à une terrasse. Une cuisine équipé . Une chambres à coucher avec des dressings et une salle de bain commune. L'appartement est équipé de chauffages central et des climatiseurs.",https://www.mubawab.tn/fr/a/8272593/appartement-s1-aux-jardins-de-carthage,media\apartment\193\image_001.jpg,media\apartment\193,5,2026-02-18 10:01:22.23368,Unknown
21,Appartement S2 aux jardins de carthage,Tunisie,435000 TND,sale,apartment,"{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}",Tunisie,,2.0,,,{},{},"La Méditerranée Immobilière Lac 2, vous propose à la vente un magnifique appartement S2 à ne pas rater c'est une belle opportunité dans une résidence calme et sécurisée à Jardin de Carthage. Il se compose d'un salon lumineux donnant accès à une terrasse. Une cuisine équipé . La partie nuit dispose de deux chambres à coucher avec des dressings et une salle de bain commune. L'appartement est équipé de chauffages central et des climatiseurs.",https://www.mubawab.tn/fr/a/8256259/appartement-s2-aux-jardins-de-carthage,media\apartment\194\image_001.jpg,media\apartment\194,6,2026-02-18 10:01:31.781477,Unknown
22,Villa Studio à vendre route sidi mansour klm 9,Tunisie,,sale,house,"{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}",Tunisie,,1.0,,,{},{},,https://www.mubawab.tn/fr/a/8305471/villa-studio-%C3%A0-vendre-route-sidi-mansour-klm-9,media\house\945\image_001.jpg,media\house\945,1,2026-02-18 20:04:17.839986,Unknown
23,A vendre un duplex avec piscine,Tunisie,,sale,house,"{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}",Tunisie,,,,,{},{},,https://www.mubawab.tn/fr/a/8108127/a-vendre-un-duplex-avec-piscine,media\house\946\image_001.jpg,media\house\946,1,2026-02-18 20:04:18.431187,Unknown
24,Superbe appartement S4 à Ain Zaghouan Nord,Tunisie,,sale,house,"{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}",Tunisie,,4.0,,,{},{},,https://www.mubawab.tn/fr/a/8305370/superbe-appartement-s4-%C3%A0-ain-zaghouan-nord,media\house\947\image_001.jpg,media\house\947,1,2026-02-18 20:04:21.126707,Unknown
25,À vendre Villa sur un terrain de 360m² à Nabeul,Tunisie,,sale,house,"{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}",Tunisie,360.0,,,,{},{},,https://www.mubawab.tn/fr/a/8305363/%C3%A0-vendre-villa-sur-un-terrain-de-360m%C2%B2-%C3%A0-nabeul,media\house\948\image_001.jpg,media\house\948,1,2026-02-18 20:04:21.747947,Unknown
26,Bel appartement de 73m² à vendre à Aouina,Tunisie,Prix à consulter,sale,apartment,"{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}",Tunisie,73.0,1.0,rangement,,{},{},"Située dans le quartier stratégique et dynamique de Wahat Aouina, à seulement 10 minutes de l’aéroport et à proximité immédiate du Lac 2, Tunisia Mall, Carrefour La Marsa et de nombreuses commodités, la Résidence Les Colombes vous offre un cadre de vie exceptionnel, à la fois pratique et élégant. Cette résidence moderne se distingue par : Deux niveaux de parking en sous-sol pour un stationnement sécurisé et confortable, Un rez-de-chaussée fonctionnel avec deux entrées indépendantes, accueillant des appartements avec terrasses et des commerces, Six étages dédiés à des appartements haut standing au design contemporain, pensés pour répondre aux attentes de confort, de style et de fonctionnalité. S+1 à partir de 224.000 DT TTC S+2 à partir de 308.000 DT TTC S+3 à partir de 458.000 DT TTC Un seul  S+4 de 198,7m² Place  de parking sous sol à 25.000 DT TTC Un excellent choix pour vivre ou investir dans un quartier en plein essor. Contactez-nous dès maintenant pour organiser votre visite",https://www.mubawab.tn/fr/pa/8185297/bel-appartement-de-73m%C2%B2-%C3%A0-vendre-%C3%A0-aouina,media\apartment\15\image_001.jpg,media\apartment\15,5,2026-02-18 09:20:33.050952,Unknown
27,A vendre un appartement S3 avec vu lac,Tunisie,1200000 TND,sale,apartment,"{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}",Tunisie,297.0,3.0,,,{},{},"Agence immobilière vous propose à la vente un luxueux appartement S3 d’une superficie 297m² situé au 5ème étage d’une résidence gardée et sécurisée aux Berges du Lac 2. La partie nuit loge un grand espace de vie donnant sur une immense terrasse avec une vue panoramique, une cuisine bien équipée ouvrant sur une deuxième cuisine avec un grand séchoir et une salle d’eau invités. La partie nuit abrite une suite parentale avec sa propre salle de douche, deux chambres à coucher dont une avec dressings et une terrasse ainsi une salle de douche commune. L’appartement est doté du chauffage central et de la climatisation en split. Les espaces de rangement présentent un des atouts de cette villa en vue de nombre de dressings à disposition. Deux places de parkings sont disponibles au Sous-sol. Dossier juridique en règles avec un titre foncier. Pour plus d’informations veuillez nous contacter au 28177388 ou bien 23219610.",https://www.mubawab.tn/fr/a/8204503/a-vendre-un-appartement-s3-avec-vu-lac,media\apartment\16\image_001.jpg,media\apartment\16,8,2026-02-18 09:20:43.003376,Unknown
28,A vendre duplex avec vue Lac,Tunisie,1300000 TND,sale,apartment,"{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}",Tunisie,243.0,3.0,,,{},{},"Agence immobilière le Carré 9 vous propose à la vente un duplex S3 d’une superficie de 243m² situé dans une petite résidence calme et gardée aux Berges du Lac 2. Le Rez-de-chaussée se compose d’un salon et salle à manger, une cuisine équipée qui donne sur une terrasse et une salle d’eau invités. Le 1er étage contient une suite parentale avec sa propre salle de bain et un balcon avec vue sur le Lac, deux chambres à coucher et une salle de bain commune. Deux places de parking et un cellier sont disponibles au sous-sol ainsi une place de parking avec abri à l’extérieur. Surface habitable nette est 154m², surface terrasse 36m². Dossier juridique en règle avec un titre foncier. Pour plus d’informations veuillez nous contacter au 23219610. ou bien 28177388.",https://www.mubawab.tn/fr/a/8167195/a-vendre-duplex-avec-vue-lac,media\apartment\17\image_001.jpg,media\apartment\17,2,2026-02-18 09:20:53.057301,Unknown
29,Joli s3 rénové à cité el wahat l'aouina,Tunisie,394000 TND,sale,apartment,"{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}",Tunisie,138.0,3.0,,,{},{},"Darcom Tunisia vous propose un magnifique S3 entièrement rénové, d'une superficie de 138 m² bien exploités , situé dans une résidence R5 avec ascenseurs, dans un quartier calme et recherché à cité el wahat - l'Aouina. L’appartement se compose comme suit : •    Un joli salon spacieux et lumineux ouvrant sur un balcon offrant une belle vue, •    Une cuisine moderne avec verrière, agencée et équipée, •    Un bloc nuit séparé avec dressing dans le hall, •    Deux chambres avec dressings se partageant une salle de bain avec jacuzzi, •    Une suite parentale avec salle de douche privée. L’appartement se distingue par ses finitions modernes, sa luminosité et son agencement optimisé. Si vous souhaitez visiter le bien n’hésitez pas à nous contacter",https://www.mubawab.tn/fr/a/8084903/joli-s3-r%C3%A9nov%C3%A9-%C3%A0-cit%C3%A9-el-wahat-l-aouina,media\apartment\21\image_001.jpg,media\apartment\21,22,2026-02-18 09:21:34.974604,Unknown
30,S4 231 m² petite résidenceJardins de Carthage,Tunisie,980000 TND,sale,apartment,"{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}",Tunisie,4231.0,4.0,,,{},{},"Darcom Tunisia met à la vente un appartement S4 de 231 m², situé dans une petite résidence R4 gardée et sécurisée près de toutes commodités aux Jardins de Carthage. La partie jour se compose comme suit : -un spacieux salon/salle à manger lumineux ouvrant sur un balcon - un séjour séparé -une cuisine aménagée et équipée (Hotte, Plaque et Four,lave- vaiselle) - une salle d’eau avec douche - une chambre de service La partie nuit séparée comprend : - un dressing au hall - une suite parentale avec dressings et disposant d’une salle de bain -deux chambres à coucher chacune avec dressing - une salle de bain commune -Une place de parking au sous-sol et un cellier sont disponibles Système central de climatisation et chauffage installé .",https://www.mubawab.tn/fr/a/8177834/s4-231-m%C2%B2-petite-r%C3%A9sidencejardins-de-carthage,media\apartment\22\image_001.jpg,media\apartment\22,1,2026-02-18 09:21:52.663748,Unknown
31,"Superbe s3 de 201,5 m²aux Jardins de Carthage",Tunisie,980000 TND,sale,apartment,"{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}",Tunisie,201.5,3.0,,,{},{},"Darcom Tunisia vous propose à la vente un superbe appartement S3 de haut standing, d’une superficie de 201,5 m², très bien orienté, situé dans une résidence sécurisée et gardée aux Jardins de Carthage. Composition du bien : •    Un spacieux salon lumineux ouvrant sur un balcon •    Une cuisine aménagée et entièrement équipée (hotte,plaque, four, micro-ondes et réfrigérateur encastré) avec un séchoir attenant  chambre de service avec rangements •    Une salle d’eau pour les invités •    Des dressings dans le hall pour plus de rangement •    Une première chambre à coucher avec dressing •    Un espace nuit indépendant comprenant •    Une suite parentale avec dressings et salle de douche •    Une chambre à coucher avec dressing et disposant d'un balcon privatif •    Une salle de bain commune Deux places de parking au sous-sol sont incluses.",https://www.mubawab.tn/fr/a/8276869/superbe-s3-de-201-5-m%C2%B2aux-jardins-de-carthage,media\apartment\23\image_001.jpg,media\apartment\23,23,2026-02-18 09:22:01.057912,Unknown
